gem_tracker,gem_source_file,asset_group,gem_id,location_id,name,unit,capacity_mw,status,start_year,retired_year,fuel_type,technology,fuel_detail,captive_type,captive_use,is_captive,operator,owner,lat,lon,province_gem,ch4_reported,cmm_co2e_100,capacity_mtpa
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926489,L100000921510,Dilek wind farm,--,24,operating,2015,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Kale Enerji Üretim Tic Ve San AS [100%],37.5386,36.4653,Kahramanmaraş,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926490,L100000921511,Dir wind farm,1,50.6,operating,2013,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Olgu En El Ür AS [100%],38.1552,30.1366,Afyonkarahisar,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926491,L100000921511,Dir wind farm,2,27.6,operating,2016,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Olgu En El Ür AS [100%],38.1552,30.1366,Afyonkarahisar,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926492,L100000921511,Dir wind farm,3,36.8,operating,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Olgu En El Ür AS [100%],38.1545,30.1359,NA,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926493,L100000921511,Dir wind farm,4.0999999999999996,77,operating,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Olgu En El Ür AS [100%],38.1551,30.1354,NA,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926495,L100000921512,Dirkshof Universal wind farm,--,211.2,operating,2022,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Dirkshof Erneuerbare Energien GmbH [100%],41.1458,28.4591,NA,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926496,L100000921513,Dokukdagi wind farm,--,30,cancelled - inferred 4 y,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Akhisar Enerji AS [100%],37.424,31.3186,Antalya,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001057770,L100001050089,Dökükdaği wind farm,--,30,pre-construction,NA,NA,wind,Unknown,NA,NA,NA,FALSE,NA,Akhisar Enerji AS,37.5381,31.3742,ANTALYA,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926497,L100000921514,Düzova wind farm,1,15,operating,2009,NA,wind,Onshore,NA,NA,NA,FALSE,Ütopya Elektrik Üretim SAN TIC,Fina Enerji [100%],39.0416,27.0291,Izmir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926498,L100000921514,Düzova wind farm,2,15,operating,2010,NA,wind,Onshore,NA,NA,NA,FALSE,Ütopya Elektrik Üretim SAN TIC,Fina Enerji [100%],39.0416,27.0291,Izmir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926501,L100000921514,Düzova wind farm,5,11,operating,2014,NA,wind,Onshore,NA,NA,NA,FALSE,Ütopya Elektrik Üretim SAN TIC,Fina Enerji [100%],39.0416,27.0291,Izmir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926502,L100000921515,Eber wind farm,--,39,operating,2018,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Eber Elektrik Üretim AS [100%],38.4602,30.3957,Afyonkarahisar,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926503,L100000921516,Edincik wind farm,1,30,operating,2013,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Edincik Enerji Üretim AS [100%],40.3366,27.8448,Balıkesir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926504,L100000921516,Edincik wind farm,2,26,operating,2015,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Edincik Enerji Üretim AS [100%],40.3366,27.8448,Balıkesir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926505,L100000921516,Edincik wind farm,3,21,operating,2016,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Edincik Enerji Üretim AS [100%],40.3366,27.8448,Balıkesir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926506,L100000921517,Edirne wind farm,--,410,pre-construction,2026,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Enerjisa Enerji Uretim AS,40.6849,26.3149,Edirne,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926507,L100000921518,Elmacık wind farm,--,70,pre-construction,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Res Atolia Holding AS [100%],41.9729,27.1723,Kırklareli,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926508,L100000921519,Elmali (Peker) wind farm,--,30,operating,2016,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Hay Elektrik Üretim AS [100%],36.3106,33.6521,Mersin,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926509,L100000921520,Elmali (Suryapi) wind farm,--,10,operating,2017,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Elmali Enerji Üretim AS [100%],36.2816,33.6458,Mersin,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926511,L100000921522,Enez wind farm,1,15,operating,2009,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Boreas En Ür San Ve Tic LTD STI [100%],40.7216,26.1968,Edirne,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926513,L100000921523,Erciyes wind farm,--,68,cancelled,NA,NA,wind,Onshore,NA,NA,NA,FALSE,Enerjisa En Ür,NA,38.7306,35.4496,Central Anatolia,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926514,L100000921524,Erimez wind farm,--,40,cancelled,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Esyel Global Enerji Ür AS [100%],40.4967,40.134,Bayburt,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926516,L100000921526,Esenköy wind farm,--,32,operating,2017,NA,wind,Onshore,NA,NA,NA,FALSE,Marmara Res Elektrik Üretim,Agaoglu Enerji Uretim AS [100%],40.5828,29.0156,Yalova,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926517,L100000921527,Eskişehir wind farm,--,50,cancelled,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,YEKA RES Elektrik Üretim AS [100%],39.9821,30.4189,Eskisehir,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926518,L100000921528,Evrencik wind farm,--,120,operating,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Renewable Energy Systems (RES) Ltd [50%]; STFA Yatirim Holding AS [50%],41.6546,27.7013,Kırklareli,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001057791,L100001050104,Falp wind farm,--,54,pre-construction,NA,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Enerjisa Energy Production Joint Stock Co,37.5043,27.6077,Mugla,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000926519,L100000921529,Fatma wind farm,--,80,operating,2016,NA,wind,Onshore,NA,NA,NA,FALSE,NA,Derne En Ür Tic AS [100%],37.2469,28.4548,Mugla,NA,NA,NA
